#
# Generated by G. Mace, Sun Mar 11 17:16:51 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   2.1423767    7.4485E-02    4.2792E-03
   2.1455595    8.3396E-02    4.8683E-03
   2.1487374    7.2298E-02    6.5769E-03
   2.1519105    6.8107E-02    7.3057E-03
   2.1550784    6.9489E-02    7.4069E-03
   2.1582413    6.1555E-02    6.2758E-03
   2.1613994    6.1906E-02    5.1422E-03
   2.1645522    5.1706E-02    4.7078E-03
   2.1677001    4.4632E-02    4.8548E-03
   2.1708429    4.9622E-02    5.0027E-03
   2.1739805    4.7364E-02    5.1090E-03
   2.1771133    4.8824E-02    5.9924E-03
   2.1802409    5.1668E-02    6.3377E-03
   2.1833634    4.2946E-02    6.4883E-03
   2.1864808    4.3263E-02    6.1647E-03
   2.1895931    3.5700E-02    5.5188E-03
   2.1927004    2.8632E-02    6.3867E-03
   2.1958027    2.1848E-02    6.6475E-03
   2.1988997    1.7659E-02    6.7969E-03
   2.2019916    1.3478E-02    6.4312E-03
   2.2050786    4.6294E-03    5.7855E-03
   2.2081604    2.4648E-02    6.0731E-03
   2.2112370    7.1992E-04    6.5098E-03
   2.2143085    8.3384E-03    6.3198E-03
   2.2173750    2.2711E-02    6.1947E-03
   2.2204366    1.6285E-02    5.2976E-03
   2.2234929    2.0761E-02    5.3064E-03
   2.2265441    2.1992E-02    5.6125E-03
   2.2295904   -4.2500E-04    6.2660E-03
   2.2326314    8.0772E-03    6.2248E-03
   2.2356677   -4.4120E-03    6.1173E-03
   2.2386987    1.0103E-02    5.4936E-03
   2.2417247    7.0165E-03    5.3201E-03
   2.2447460    1.0800E-02    5.4918E-03
   2.2477620    2.3672E-03    5.7268E-03
   2.2507732    1.0136E-02    5.8875E-03
   2.2537796   -8.4287E-03    5.8982E-03
   2.2567809    6.7041E-03    5.8919E-03
   2.2597775    1.7565E-02    5.7021E-03
   2.2627692   -7.1512E-03    5.7306E-03
   2.2657561    7.9272E-03    5.8978E-03
   2.2687383    1.1279E-02    5.9429E-03
   2.2717156    2.1942E-03    6.1448E-03
   2.2746885   -4.6085E-03    6.1923E-03
   2.2776566    8.0041E-03    6.1166E-03
   2.2806203    7.5773E-03    6.0159E-03
   2.2835793    3.5606E-04    5.9703E-03
   2.2865338    5.1461E-03    6.0253E-03
   2.2894840    1.9329E-03    6.1228E-03
   2.2924299   -4.7409E-03    6.3117E-03
   2.2953715    1.2427E-02    6.5788E-03
   2.2983088   -9.5207E-03    6.8305E-03
   2.3012419   -1.7510E-03    6.7289E-03
   2.3041711   -3.4237E-03    6.5834E-03
   2.3070962    7.5829E-03    6.3624E-03
   2.3100176    2.2499E-02    6.2069E-03
   2.3129349    1.0982E-02    6.3773E-03
   2.3158488    2.2741E-02    7.1063E-03
   2.3187590    8.6834E-03    7.2770E-03
   2.3216655   -2.8141E-03    7.1844E-03
   2.3245687    1.2589E-02    6.8379E-03
   2.3274686    7.1262E-03    6.7064E-03
   2.3303654   -2.1681E-04    6.7359E-03
   2.3332593   -2.1656E-03    6.7688E-03
   2.3361502    1.3147E-02    6.9981E-03
   2.3390381    3.0009E-03    7.3177E-03
   2.3419237    7.5478E-03    7.5696E-03
   2.3448067    3.8002E-03    7.7371E-03
   2.3476872    4.4334E-03    8.0127E-03
   2.3505657   -1.4934E-02    8.4660E-03
   2.3534422    6.8448E-03    8.4149E-03
   2.3563168    8.1310E-03    8.1637E-03
   2.3591897   -5.5598E-03    7.7847E-03
   2.3620610    1.3459E-02    7.6968E-03
   2.3649313    1.6992E-02    7.8242E-03
   2.3678005    2.6484E-03    8.7303E-03
   2.3706686    4.5946E-03    9.8666E-03
   2.3735361    1.0139E-02    1.0078E-02
   2.3764033    7.7991E-03    9.5032E-03
   2.3792701   -2.0592E-03    9.2665E-03
   2.3821371   -8.4263E-03    9.4368E-03
   2.3850043    2.0769E-03    9.2989E-03
